"","City","Cost.of.Living.Index"
"1","New York, NY, United States",100
"2","Honolulu, HI, United States",95.67
"3","Washington, DC, United States",91.99
"4","San Francisco, CA, United States",91.67
"5","Brooklyn, NY, United States",90.29
"6","Oakland, CA, United States",84.24
"7","Seattle, WA, United States",84.16
"8","Boston, MA, United States",82.68
"10","Miami, FL, United States",80.45
"11","Philadelphia, PA, United States",80.19
"12","Albany, NY, United States",78.5
"13","Los Angeles, CA, United States",78.2
"14","Sacramento, CA, United States",77.76
"15","Chicago, IL, United States",77.75
"16","San Jose, CA, United States",76.36
"17","Bellingham, WA, United States",75.7
"18","Charlotte, NC, United States",75.63
"19","Minneapolis, MN, United States",75.33
"20","Baltimore, MD, United States",75.24
"21","Rochester, NY, United States",75.01
"22","Portland, OR, United States",74.93
"23","Pittsburgh, PA, United States",74.79
"25","San Diego, CA, United States",72.67
"26","Atlanta, GA, United States",72.26
"27","Buffalo, NY, United States",71.07
"28","Denver, CO, United States",70.72
"29","Tampa, FL, United States",70.46
"30","Asheville, NC, United States",70.44
"31","Cleveland, OH, United States",70.36
"32","Milwaukee, WI, United States",70.22
"33","Raleigh, NC, United States",70.06
"34","Austin, TX, United States",69.94
"35","Orlando, FL, United States",69.38
"36","Jacksonville, FL, United States",69
"38","Kansas City, MO, United States",68.81
"39","Fresno, CA, United States",68.54
"41","Tucson, AZ, United States",67.99
"43","Las Vegas, NV, United States",67.81
"44","Nashville, TN, United States",67.5
"45","Bakersfield, CA, United States",67.35
"47","Indianapolis, IN, United States",67.05
"49","Dallas, TX, United States",66.95
"50","Fort Worth, TX, United States",66.91
"51","Saint Louis, MO, United States",66.77
"52","Phoenix, AZ, United States",65.88
"53","Columbus, OH, United States",65.79
"55","Richmond, VA, United States",65.52
"59","Louisville, KY, United States",64.65
"61","Memphis, TN, United States",64.35
"62","Albuquerque, NM, United States",64.2
"63","Knoxville, TN, United States",64.06
"64","Houston, TX, United States",63.62
"65","Cincinnati, OH, United States",63.48
"66","Madison, WI, United States",63.48
"67","Salt Lake City, UT, United States",63.38
"68","Tulsa, OK, United States",63.24
"71","San Antonio, TX, United States",61.87
"72","Reno, NV, United States",61.46
"73","Little Rock, AR, United States",60.71
"75","Detroit, MI, United States",60.04
"78","Boise, ID, United States",58.85
